,urls
110,https://www.wildberries.ru/catalog/11916534/detail.aspx
111,https://www.wildberries.ru/catalog/29498090/detail.aspx
112,https://www.wildberries.ru/catalog/8073103/detail.aspx
113,https://www.wildberries.ru/catalog/19349114/detail.aspx
114,https://www.wildberries.ru/catalog/7072818/detail.aspx
115,https://www.wildberries.ru/catalog/18737787/detail.aspx
116,https://www.wildberries.ru/catalog/63217541/detail.aspx
117,https://www.wildberries.ru/catalog/31952294/detail.aspx
118,https://www.wildberries.ru/catalog/16844710/detail.aspx
119,https://www.wildberries.ru/catalog/8204798/detail.aspx
120,https://www.wildberries.ru/catalog/34835639/detail.aspx
121,https://www.wildberries.ru/catalog/30360935/detail.aspx
122,https://www.wildberries.ru/catalog/31935786/detail.aspx
123,https://www.wildberries.ru/catalog/19349115/detail.aspx
124,https://www.wildberries.ru/catalog/6855506/detail.aspx
125,https://www.wildberries.ru/catalog/38945452/detail.aspx
126,https://www.wildberries.ru/catalog/29298564/detail.aspx
127,https://www.wildberries.ru/catalog/8944424/detail.aspx
128,https://www.wildberries.ru/catalog/3900840/detail.aspx
129,https://www.wildberries.ru/catalog/8274119/detail.aspx
130,https://www.wildberries.ru/catalog/2715910/detail.aspx
131,https://www.wildberries.ru/catalog/11311030/detail.aspx
132,https://www.wildberries.ru/catalog/32730454/detail.aspx
133,https://www.wildberries.ru/catalog/57210269/detail.aspx
134,https://www.wildberries.ru/catalog/33223080/detail.aspx
135,https://www.wildberries.ru/catalog/11105754/detail.aspx
136,https://www.wildberries.ru/catalog/33559079/detail.aspx
137,https://www.wildberries.ru/catalog/12012774/detail.aspx
138,https://www.wildberries.ru/catalog/30368033/detail.aspx
139,https://www.wildberries.ru/catalog/12434647/detail.aspx
140,https://www.wildberries.ru/catalog/94338868/detail.aspx
141,https://www.wildberries.ru/catalog/8013940/detail.aspx
142,https://www.wildberries.ru/catalog/15434994/detail.aspx
143,https://www.wildberries.ru/catalog/30862810/detail.aspx
144,https://www.wildberries.ru/catalog/27816079/detail.aspx
145,https://www.wildberries.ru/catalog/43751417/detail.aspx
146,https://www.wildberries.ru/catalog/16767347/detail.aspx
147,https://www.wildberries.ru/catalog/25996106/detail.aspx
148,https://www.wildberries.ru/catalog/34347708/detail.aspx
149,https://www.wildberries.ru/catalog/11689455/detail.aspx
150,https://www.wildberries.ru/catalog/36278186/detail.aspx
151,https://www.wildberries.ru/catalog/19309818/detail.aspx
152,https://www.wildberries.ru/catalog/26632012/detail.aspx
153,https://www.wildberries.ru/catalog/33713652/detail.aspx
154,https://www.wildberries.ru/catalog/15470903/detail.aspx
155,https://www.wildberries.ru/catalog/9565287/detail.aspx
156,https://www.wildberries.ru/catalog/10163164/detail.aspx
157,https://www.wildberries.ru/catalog/38779255/detail.aspx
158,https://www.wildberries.ru/catalog/15398526/detail.aspx
159,https://www.wildberries.ru/catalog/8204796/detail.aspx
160,https://www.wildberries.ru/catalog/39860943/detail.aspx
161,https://www.wildberries.ru/catalog/37979268/detail.aspx
162,https://www.wildberries.ru/catalog/41227919/detail.aspx
163,https://www.wildberries.ru/catalog/33720629/detail.aspx
164,https://www.wildberries.ru/catalog/61958819/detail.aspx
165,https://www.wildberries.ru/catalog/30729672/detail.aspx
166,https://www.wildberries.ru/catalog/12846649/detail.aspx
167,https://www.wildberries.ru/catalog/40759386/detail.aspx
168,https://www.wildberries.ru/catalog/10411515/detail.aspx
169,https://www.wildberries.ru/catalog/29475821/detail.aspx
170,https://www.wildberries.ru/catalog/18883793/detail.aspx
171,https://www.wildberries.ru/catalog/8659260/detail.aspx
172,https://www.wildberries.ru/catalog/77902581/detail.aspx
173,https://www.wildberries.ru/catalog/11775980/detail.aspx
174,https://www.wildberries.ru/catalog/138065374/detail.aspx
175,https://www.wildberries.ru/catalog/8274118/detail.aspx
176,https://www.wildberries.ru/catalog/28891463/detail.aspx
177,https://www.wildberries.ru/catalog/39233769/detail.aspx
178,https://www.wildberries.ru/catalog/9651931/detail.aspx
179,https://www.wildberries.ru/catalog/36120977/detail.aspx
180,https://www.wildberries.ru/catalog/15635373/detail.aspx
181,https://www.wildberries.ru/catalog/16526314/detail.aspx
182,https://www.wildberries.ru/catalog/34844017/detail.aspx
183,https://www.wildberries.ru/catalog/33321513/detail.aspx
184,https://www.wildberries.ru/catalog/97493093/detail.aspx
185,https://www.wildberries.ru/catalog/34765106/detail.aspx
186,https://www.wildberries.ru/catalog/22268557/detail.aspx
187,https://www.wildberries.ru/catalog/18383104/detail.aspx
188,https://www.wildberries.ru/catalog/38643956/detail.aspx
189,https://www.wildberries.ru/catalog/18496036/detail.aspx
190,https://www.wildberries.ru/catalog/7718593/detail.aspx
191,https://www.wildberries.ru/catalog/16980267/detail.aspx
192,https://www.wildberries.ru/catalog/66101691/detail.aspx
193,https://www.wildberries.ru/catalog/5115519/detail.aspx
194,https://www.wildberries.ru/catalog/3931286/detail.aspx
195,https://www.wildberries.ru/catalog/17826670/detail.aspx
196,https://www.wildberries.ru/catalog/31933216/detail.aspx
197,https://www.wildberries.ru/catalog/39871494/detail.aspx
198,https://www.wildberries.ru/catalog/67127532/detail.aspx
199,https://www.wildberries.ru/catalog/35405384/detail.aspx
200,https://www.wildberries.ru/catalog/50021390/detail.aspx
201,https://www.wildberries.ru/catalog/67013071/detail.aspx
202,https://www.wildberries.ru/catalog/35415122/detail.aspx
203,https://www.wildberries.ru/catalog/10859056/detail.aspx
204,https://www.wildberries.ru/catalog/33543726/detail.aspx
205,https://www.wildberries.ru/catalog/33208250/detail.aspx
206,https://www.wildberries.ru/catalog/19203388/detail.aspx
207,https://www.wildberries.ru/catalog/18383103/detail.aspx
208,https://www.wildberries.ru/catalog/8309010/detail.aspx
209,https://www.wildberries.ru/catalog/50843629/detail.aspx
210,https://www.wildberries.ru/catalog/2715908/detail.aspx
211,https://www.wildberries.ru/catalog/22355720/detail.aspx
212,https://www.wildberries.ru/catalog/10163165/detail.aspx
213,https://www.wildberries.ru/catalog/38299482/detail.aspx
214,https://www.wildberries.ru/catalog/16511013/detail.aspx
215,https://www.wildberries.ru/catalog/53465684/detail.aspx
216,https://www.wildberries.ru/catalog/19289362/detail.aspx
217,https://www.wildberries.ru/catalog/39329680/detail.aspx
218,https://www.wildberries.ru/catalog/32669338/detail.aspx
219,https://www.wildberries.ru/catalog/36378902/detail.aspx
220,https://www.wildberries.ru/catalog/50472406/detail.aspx
221,https://www.wildberries.ru/catalog/34333459/detail.aspx
222,https://www.wildberries.ru/catalog/76877058/detail.aspx
223,https://www.wildberries.ru/catalog/11842188/detail.aspx
